VL1,VL2,VL3,IL1,IL2,IL3,PFL1
130.28,131.19,129.26,11.39,33.536,28.848,0.91
130.19,131.31,129.39,11.175,27.795,24.552,0.89
130.16,131.28,129.29,7.287,23.897,20.91,0.89
130.73,131.76,129.73,0,19.911,17.386,0.9
130.62,131.56,129.61,0,22.697,18.044,0.92
130.58,131.71,129.79,0,15.519,13.424,0.84
130.14,131.06,129.17,0,23.036,16.942,0.92
125.38,126.35,124.45,0,21.897,16.008,0.95
130.71,131.81,129.96,0,16.233,13.03,0.85
130.06,131.25,129.27,0,17.289,14.812,0.86
129.61,130.75,128.75,1.459,18.832,16.94,0.89
129.85,130.91,128.9,0,20.99,17.285,0.91
129.94,131.36,128.92,1.028,8.674,18.072,0.95
130.45,131.78,129.41,0,9.333,17.89,0.95
129.93,131.32,128.81,1.07,7.012,18.577,0.95
129.52,131.02,128.54,0,6.203,15.824,0.96
131.04,132.33,129.88,1.084,11.614,18.78,0.97
131.22,132.46,130.04,0,9.264,17.116,0.96
131.2,132.57,130.13,0,3.979,15.234,0.93
131.25,132.6,130.21,0,5.832,15.436,0.95
131.42,132.66,130.27,0.962,10.638,18.452,0.97
131.28,132.72,130.1,0.995,5.32,17.217,0.94
131.25,132.65,130.19,0,5.605,15.105,0.95
130.98,132.39,129.85,1.049,9.44,19.008,0.96
131.06,132.38,129.81,0,9.857,19.885,0.95
131.24,132.64,130.18,0,5.833,15.384,0.97
131.63,133.02,130.55,0.962,5.186,16.445,0.96
131.72,133.13,130.68,1.05,4.942,17.299,0.95
131.83,133.14,130.72,1.065,10.065,19.077,0.95
131.78,133.09,130.72,1.08,8.64,16.978,0.95
131.31,132.72,130.35,0,6.527,18.637,0.93
131,132.19,129.95,0,9.347,17.078,0.93
130.94,132.16,130.01,0.984,7.958,17.761,0.93
131.1,132.28,130.13,0,9.137,16.706,0.93
130.98,132.23,129.99,0,8.857,17.3,0.93
131.15,132.39,130.16,0,6.593,16.223,0.93
131.24,132.49,130.22,1.017,6.112,16.987,0.92
131.4,132.64,130.38,0,8.438,16.503,0.92
131.59,132.86,130.56,0,6.614,15.498,0.92
131.35,132.6,130.41,6.693,13.99,20.227,0.88
131.03,132.25,130.29,16.145,23.186,22.494,0.77
131.07,132.23,130.15,16.752,24.925,26.641,0.79
130.86,132.15,130.01,15.424,20.489,24.225,0.75
131.12,132.44,130.29,13.624,16.657,21.658,0.73
131.58,132.7,130.56,9.121,15.211,20.368,0.85
131.11,132.29,130.21,7.803,12.01,15.976,0.76
130.31,131.47,129.37,7.632,11.12,15.322,0.76
129.84,130.96,128.92,7.922,13.014,16.544,0.78
129.81,130.96,128.81,8.724,14.542,19.408,0.81
129.94,131.17,129.01,6.997,11.549,16.342,0.77
131.22,132.26,130.21,6.884,13.281,17.16,0.8
131.5,132.35,130.27,6.864,10.788,18.231,0.74
131.57,132.54,130.25,8.661,11.814,23.735,0.8
131.85,132.84,130.59,7.717,13.006,20.6,0.83
131.8,132.79,130.69,6.906,11.808,16.613,0.79
131.81,132.89,130.73,6.833,10.654,16.827,0.77
131.39,132.48,130.35,7.026,12.688,15.687,0.82
130.95,132.1,129.76,7.387,14.024,23.146,0.83
130.85,131.96,129.8,6.686,10.622,15.687,0.76
130.99,131.92,129.86,7.442,15.194,17.314,0.77
131.74,132.6,130.6,8.039,14.634,17.616,0.73
131.39,132.38,130.38,9.459,11.466,16.453,0.61
131.14,132.08,130.05,8.819,12.021,20.122,0.74
131.1,132.02,129.83,7.943,13.208,21.847,0.76
131.23,131.94,129.92,6.492,13.773,17.754,0.78
130.76,131.66,129.63,6.529,12.44,17.052,0.76
130.78,131.75,129.65,6.968,12.4,16.539,0.74
130.8,131.76,129.68,7.752,11.877,15.67,0.68
130.58,131.51,129.42,7.211,13.606,16.508,0.77
130.45,131.45,129.29,7.972,16.162,19.056,0.79
130.67,131.7,129.62,8.56,11.688,17.7,0.7
130.67,131.79,129.64,9.368,10.507,18.177,0.66
130.89,131.81,129.78,7.958,15.298,16.472,0.79
131.12,131.91,130.02,7.406,14.793,14.68,0.76
131.1,131.87,130.02,6.907,14.689,14.958,0.79
131.14,132.12,130.17,6.853,11.811,14.683,0.72
131.32,132.15,130.23,6.763,13.09,14.342,0.76
131.14,132.18,130.06,6.657,12.039,15.641,0.75
131.02,132.09,130.02,6.501,16.589,15.424,0.84
131.05,131.79,130.01,7.336,26.266,18.122,0.89
130.92,131.74,129.98,7.382,25.676,18.487,0.89
131.33,132.23,130.39,7.897,23.305,16.404,0.87
131.03,131.87,130.07,7.194,23.938,15.689,0.87
131.07,131.95,130.2,7.305,22.12,14.775,0.85
130.95,131.75,130.05,7.231,24.212,15.89,0.87
130.76,131.52,129.82,7.105,26.115,16.724,0.88
130.61,131.42,129.76,16.558,33.023,24.949,0.87
130.55,131.41,129.72,19.264,35.755,28.465,0.85
130.41,131.2,129.57,18.563,34.97,26.295,0.84
130.86,131.72,130.11,9.57,22.85,12.444,0.84
130.77,131.7,129.99,7.855,20.18,10.554,0.85
130.72,131.47,129.95,6.731,23.295,12.222,0.87
130.5,131.28,129.73,7.886,24.14,11.885,0.88
129.93,130.92,129.22,9.642,23.042,15.49,0.86
129.92,130.82,129.18,8.602,23.572,13.449,0.86
130.12,131.13,129.48,7.76,20.31,6.672,0.84
130.16,131.16,129.62,10.635,27.322,10.614,0.89
130.41,131.33,129.72,11.224,31.292,13.225,0.92
130.11,131.31,129.56,12.741,32.583,17.664,0.94
130.13,131.44,129.51,10.937,32.342,15.24,0.93
129.89,131.36,129.24,10.942,33.158,15.442,0.93
129.81,131.47,129.22,11.787,31.862,16.329,0.93
129.85,131.57,129.3,12.575,31.644,15.322,0.92
129.59,131.3,129.08,13.232,32.202,15.088,0.92
129.22,130.92,128.68,12.604,35.684,15.868,0.93
129.37,131.26,128.89,12.686,31.83,13.622,0.92
129.26,131.16,128.69,11.36,32.307,13.53,0.93
129.23,131.22,128.61,11.297,32.333,17.918,0.93
130.39,132.33,129.64,4.886,29.996,16.022,0.94
130.55,132.64,129.83,4.337,27.675,14.836,0.92
130.54,132.69,129.86,6.189,28.281,15.821,0.93
130.8,132.95,130.13,0,26.939,13.242,0.92
130.87,133.02,130.2,3.92,26.528,14.035,0.92
130.92,133.1,130.28,0,24.387,11.836,0.9
130.45,132.77,129.87,5.485,23.724,13.57,0.9
130.1,132.36,129.48,6.792,25.536,15.494,0.91
130.15,132.22,129.45,3.19,29.463,14.339,0.93
130.04,132.24,129.42,0,25.544,12.019,0.91
130.03,132.28,129.42,0,25.75,12.167,0.91
129.96,132.24,129.32,3.919,26.476,13.572,0.92
129.84,132.16,129.22,4.831,26.484,14.699,0.92
129.91,132.24,129.29,0,25.767,12.359,0.91
130.24,132.54,129.58,4.68,28.215,14.826,0.93
130.38,132.7,129.76,6.171,26.865,15.581,0.92
130.51,132.86,130.04,0,22.985,10.735,0.89
130.21,132.6,129.7,6.171,23.776,13.997,0.9
129.86,132.15,129.33,0,26.131,12.121,0.91
129.59,132.01,129.19,0,22.664,10.813,0.89
129.67,131.95,129.24,12.956,29.404,15.878,0.91
129.42,131.64,129.01,16.568,33.387,19.231,0.92
129.34,131.53,128.97,16.443,33.824,19.623,0.92
129.97,132.12,129.5,8.206,27.564,13.943,0.92
130.07,132.14,129.52,0,28.267,13.407,0.93
129.92,132.03,129.4,1.849,26.397,12.45,0.92
130.18,132.42,129.74,6.734,25.479,14.615,0.91
130.43,132.53,129.91,2.714,25.827,12.658,0.91
130.87,132.94,130.37,0,23.457,11.08,0.9
130.67,132.73,130.18,0,24.076,11.282,0.9
130.59,132.71,130.16,0,23.42,10.976,0.9
130.37,132.41,129.82,0,27.074,13.025,0.92
130.7,132.77,130.18,4.072,26.217,13.637,0.92
130.81,132.91,130.31,2.236,22.709,11.107,0.89
130.63,132.6,130.09,0,26.336,12.45,0.92
130.78,132.8,130.36,0,23.117,10.646,0.9
130.89,132.82,130.38,0,24.552,12.63,0.91
130.99,132.91,130.58,0,22.594,11.231,0.89
130.93,132.71,130.45,0,24.032,13.334,0.9
130.89,132.69,130.42,0,23.086,11.232,0.91
131.18,133,130.73,0,17.612,7.302,0.86
131.49,133.32,131.1,0,16.463,4.519,0.84
131.55,133.36,131.22,1.19,15.379,3.608,0.82
131.55,133.3,131.21,0,15.64,2.096,0.82
130.77,132.33,130.4,0,17.783,6.327,0.86
131.07,132.55,130.72,0,17.278,3.499,0.86
131.28,132.73,130.88,0,16.936,5.352,0.85
131.06,132.62,130.78,0,15.382,0,0.82
131.29,132.72,130.99,0,17.388,5.861,0.86
131.05,132.51,130.84,0,16.837,5.125,0.85
131.19,132.59,130.96,0,16.078,3.494,0.83
131.28,132.61,131.04,0,16.414,0,0.84
131.34,132.62,131.1,2.399,17.833,7.441,0.86
131.35,132.62,131.1,3.39,17.321,8.034,0.85
131.57,132.91,131.29,1.149,15.713,9.381,0.82
131.75,132.98,131.48,0,15.37,0,0.82
131.66,132.82,131.41,0,17.531,6.211,0.86
131.76,132.94,131.53,0,16.339,4.364,0.84
131.84,132.99,131.69,0,16.415,0,0.85
131.97,133.11,131.81,0,16.119,3.771,0.84
130.91,132,130.74,0,16.667,4.693,0.85
130.46,131.59,130.37,0,15.397,0,0.82
130.26,131.35,130.13,0,15.841,6.381,0.83
130.08,131.24,130.02,0,15.46,0,0.82
130.23,131.15,130.11,1.161,19.03,6.393,0.88
130.41,131.35,130.29,2.958,16.624,6.345,0.84
130.27,131.27,130.22,2.642,15.92,4.817,0.82
130.23,131.24,130.19,0,15.53,0,0.82
130.34,131.31,130.31,0,16.188,3.561,0.84
130.85,131.73,130.73,0,17.451,5.837,0.86
131.06,131.89,130.95,0,16.436,0,0.85
131.1,132.01,131,0,15.919,2.976,0.83
131.26,132.08,131.09,0,16.952,5.059,0.85
130.58,131.48,130.56,12.304,22.535,14.396,0.87
130.65,131.53,130.61,13.699,24.097,16.29,0.88
130.64,131.49,130.56,13.609,24.023,16.201,0.88
130.77,131.59,130.63,4.457,19.399,8.193,0.88
130.6,131.46,130.5,0,16.643,3.77,0.85
130.75,131.65,130.7,0,15.385,0,0.82
131.1,131.98,131.01,0,15.371,0,0.82
131.2,131.93,131.02,3.176,17.822,8.018,0.86
131.14,131.94,131.03,2.638,15.962,5.024,0.83
131.15,131.95,131.04,0,15.41,0,0.83
131.16,131.92,131.1,0,16.514,0,0.85
131.05,131.74,130.9,0,18.137,6.839,0.87
130.9,131.7,130.84,0,15.986,3.273,0.84
130.86,131.64,130.8,0,15.383,0,0.83
130.88,131.67,130.8,0,15.385,0,0.83
131.46,132.19,131.28,0,17.429,5.879,0.86
131.3,131.99,131.2,0,16.443,0,0.85
131.22,132.03,131.15,0,15.379,0,0.82
131.28,132.05,131.21,0,15.379,0,0.82
131.18,131.95,131.11,0,15.379,0,0.82
131.45,132.11,131.29,0,17.342,5.8,0.86
131.15,131.92,131.11,2.052,15.597,3.584,0.83
131.06,131.81,131.03,3.172,17.325,5.946,0.86
131.02,131.81,130.98,1.684,15.633,3,0.83
131.05,131.83,131.02,0,15.387,0,0.82
131.27,132.04,131.25,0,15.378,0,0.82
131.42,132.12,131.31,0,17.092,5.604,0.86
131,131.74,130.93,0,15.382,0,0.82
130.99,131.76,130.91,0,15.38,0,0.82
131.34,132.05,131.25,0,16.38,0,0.85
131.37,132.09,131.31,0,15.38,0,0.82
131.01,131.77,130.93,0,15.38,0,0.82
131.05,131.82,130.97,0,15.38,0,0.82
130.72,131.5,130.7,0,15.394,0,0.83
130.86,131.59,130.84,0,15.392,0,0.83
131.04,131.75,131.03,0,16.541,0,0.85
130.93,131.72,130.9,0,15.383,0,0.82
131.02,131.76,131.02,0,15.38,0,0.82
131.26,131.94,131.19,0,15.379,0,0.82
131.32,132.02,131.23,0,15.379,0,0.82
131.36,132.07,131.25,0,15.378,0,0.82
131.54,132.22,131.4,0,15.378,0,0.82
131.58,132.2,131.48,0,16.526,0,0.85
131.65,132.33,131.55,0,15.378,0,0.82
131.77,132.42,131.64,0,16.059,3.476,0.84
131.52,132.23,131.41,0,15.378,0,0.82
131.55,132.2,131.34,0,18.014,7.031,0.87
131.32,132.06,131.23,0,15.379,0,0.82
131.29,132,131.18,0,15.681,0,0.83
131.55,132.22,131.41,0,16.205,0,0.84
131.21,131.95,131.13,0,15.379,0,0.82
131.12,131.92,131.04,0,15.38,0,0.82
131.11,131.9,131.04,0,15.382,0,0.82
131.12,131.9,131.02,10.258,20.457,12.061,0.86
130.96,131.75,130.89,14.82,24.714,18.072,0.88
130.85,131.49,130.69,14.018,27.924,18.679,0.9
131,131.8,130.86,8.402,21.107,14.143,0.87
131.19,132,131.02,0,15.997,7.093,0.83
131.18,131.98,130.97,0,17.976,11.138,0.86
131.03,131.71,130.73,0,22.559,12.524,0.91
131.15,131.91,130.9,0,19.669,11.425,0.89
131.24,131.92,130.87,0,19.687,12.897,0.89
131.32,131.92,130.96,0,23.04,12.178,0.92
131.13,131.8,130.81,0,20.351,11.404,0.9
131.02,131.79,130.8,0,19.78,11.099,0.89
131.06,131.85,130.82,0,19.755,11.076,0.89
131.05,131.79,130.8,0,19.748,11.046,0.89
130.82,131.67,130.53,1.222,20.156,13.93,0.89
130.33,131.1,130.03,0,21.644,11.343,0.91
130.3,131.08,129.95,1.709,21.789,15.001,0.91
130.58,131.25,130.23,0,19.891,11.295,0.89
130.67,131.31,130.23,0,17.253,8.826,0.86
130.69,131.21,130.14,0,14.886,5.054,0.83
130.64,131.3,130.15,2.298,14.907,9.222,0.83
130.53,131.21,130.01,2.038,13.606,7.807,0.8
130.36,130.88,129.83,1.05,15.282,4.113,0.85
130.22,130.81,129.69,0,13.931,2.918,0.81
130.13,130.84,129.65,0,13.711,2.169,0.8
131.35,131.84,130.62,0,20.267,12.101,0.9
131.54,132.11,130.69,0,19.197,12.954,0.89
131.46,132.14,130.69,0,16.883,12.891,0.86
131.39,132,130.54,1.017,19.389,15.969,0.89
131.19,131.81,130.12,0,20.268,20.567,0.9
131.15,131.81,130.3,1.067,20.252,17.72,0.9
130.99,131.66,130.09,0,18.816,16.34,0.89
130.95,131.57,130.05,0,18.778,15.575,0.93
130.78,131.5,130,0,17.782,14.428,0.87
130.41,131.13,129.64,0,16.83,14.129,0.85
130.29,131.02,129.53,0,16.86,14.442,0.85
130.19,131.01,129.49,0,16.375,13.826,0.85
129.96,130.83,129.17,1.083,18.357,17.201,0.88
129.86,130.71,129.17,0,17.996,13.904,0.88
129.74,130.78,129,1.08,15.56,16.892,0.83
129.82,130.67,128.99,0,19.561,16.387,0.89
129.75,130.51,128.92,0,20.023,16.292,0.9
130.13,130.97,129.26,0,17.759,15.603,0.87
130.67,131.54,129.93,0,15.138,12.376,0.83
131.27,132.17,130.43,0,14.82,12.911,0.82
130.9,131.72,130.02,10.671,23.625,21.595,0.87
130.48,131.17,129.48,12.826,30.107,28.534,0.9
130.46,131.26,129.66,11.192,25.996,23.111,0.9
130.83,131.62,129.84,6.651,21.633,19.771,0.89
130.99,131.8,129.91,0,16.512,15.762,0.85
130.76,131.53,129.71,0,18.486,15.919,0.88
130.58,131.21,129.44,0,24.131,18.399,0.93
130.36,131.16,129.27,0,18.868,15.325,0.89
130.24,130.97,129.19,0,22.128,15.887,0.92
130.16,131.04,129.22,0,18.556,15.11,0.88
130.04,130.95,129.04,0,20.614,16.6,0.9
130.18,131.15,129.22,0,19.269,15.431,0.88
129.76,130.63,128.62,1.062,23.119,22.002,0.91
129.64,130.67,128.63,0.973,20.15,19.938,0.89
129.62,130.76,128.7,1.421,19.197,19.307,0.89
129.87,130.99,129.03,0,15.734,13.492,0.84
130.03,131.01,129.05,0,17.868,14.85,0.87
129.52,130.52,128.46,0.984,23.107,23.459,0.92
130.31,131.23,129.16,0,22.75,20.28,0.91
130.67,131.49,129.48,0,24.059,17.739,0.93
