IL1,IL2,IL3,PF
11.39,33.536,28.848,0.91
11.175,27.795,24.552,0.89
7.287,23.897,20.91,0.89
0,19.911,17.386,0.9
0,22.697,18.044,0.92
0,15.519,13.424,0.84
0,23.036,16.942,0.92
0,21.897,16.008,0.95
0,16.233,13.03,0.85
0,17.289,14.812,0.86
1.459,18.832,16.94,0.89
0,20.99,17.285,0.91
1.028,8.674,18.072,0.95
0,9.333,17.89,0.95
1.07,7.012,18.577,0.95
0,6.203,15.824,0.96
1.084,11.614,18.78,0.97
0,9.264,17.116,0.96
0,3.979,15.234,0.93
0,5.832,15.436,0.95
0.962,10.638,18.452,0.97
0.995,5.32,17.217,0.94
0,5.605,15.105,0.95
1.049,9.44,19.008,0.96
0,9.857,19.885,0.95
0,5.833,15.384,0.97
0.962,5.186,16.445,0.96
1.05,4.942,17.299,0.95
1.065,10.065,19.077,0.95
1.08,8.64,16.978,0.95
0,6.527,18.637,0.93
0,9.347,17.078,0.93
0.984,7.958,17.761,0.93
0,9.137,16.706,0.93
0,8.857,17.3,0.93
0,6.593,16.223,0.93
1.017,6.112,16.987,0.92
0,8.438,16.503,0.92
0,6.614,15.498,0.92
6.693,13.99,20.227,0.88
16.145,23.186,22.494,0.77
16.752,24.925,26.641,0.79
15.424,20.489,24.225,0.75
13.624,16.657,21.658,0.73
9.121,15.211,20.368,0.85
7.803,12.01,15.976,0.76
7.632,11.12,15.322,0.76
7.922,13.014,16.544,0.78
8.724,14.542,19.408,0.81
6.997,11.549,16.342,0.77
6.884,13.281,17.16,0.8
6.864,10.788,18.231,0.74
8.661,11.814,23.735,0.8
7.717,13.006,20.6,0.83
6.906,11.808,16.613,0.79
6.833,10.654,16.827,0.77
7.026,12.688,15.687,0.82
7.387,14.024,23.146,0.83
6.686,10.622,15.687,0.76
7.442,15.194,17.314,0.77
8.039,14.634,17.616,0.73
9.459,11.466,16.453,0.61
8.819,12.021,20.122,0.74
7.943,13.208,21.847,0.76
6.492,13.773,17.754,0.78
6.529,12.44,17.052,0.76
6.968,12.4,16.539,0.74
7.752,11.877,15.67,0.68
7.211,13.606,16.508,0.77
7.972,16.162,19.056,0.79
8.56,11.688,17.7,0.7
9.368,10.507,18.177,0.66
7.958,15.298,16.472,0.79
7.406,14.793,14.68,0.76
6.907,14.689,14.958,0.79
6.853,11.811,14.683,0.72
6.763,13.09,14.342,0.76
6.657,12.039,15.641,0.75
6.501,16.589,15.424,0.84
7.336,26.266,18.122,0.89
7.382,25.676,18.487,0.89
7.897,23.305,16.404,0.87
7.194,23.938,15.689,0.87
7.305,22.12,14.775,0.85
7.231,24.212,15.89,0.87
7.105,26.115,16.724,0.88
16.558,33.023,24.949,0.87
19.264,35.755,28.465,0.85
18.563,34.97,26.295,0.84
9.57,22.85,12.444,0.84
7.855,20.18,10.554,0.85
6.731,23.295,12.222,0.87
7.886,24.14,11.885,0.88
9.642,23.042,15.49,0.86
8.602,23.572,13.449,0.86
7.76,20.31,6.672,0.84
10.635,27.322,10.614,0.89
11.224,31.292,13.225,0.92
12.741,32.583,17.664,0.94
10.937,32.342,15.24,0.93
10.942,33.158,15.442,0.93
11.787,31.862,16.329,0.93
12.575,31.644,15.322,0.92
13.232,32.202,15.088,0.92
12.604,35.684,15.868,0.93
12.686,31.83,13.622,0.92
11.36,32.307,13.53,0.93
11.297,32.333,17.918,0.93
4.886,29.996,16.022,0.94
4.337,27.675,14.836,0.92
6.189,28.281,15.821,0.93
0,26.939,13.242,0.92
3.92,26.528,14.035,0.92
0,24.387,11.836,0.9
5.485,23.724,13.57,0.9
6.792,25.536,15.494,0.91
3.19,29.463,14.339,0.93
0,25.544,12.019,0.91
0,25.75,12.167,0.91
3.919,26.476,13.572,0.92
4.831,26.484,14.699,0.92
0,25.767,12.359,0.91
4.68,28.215,14.826,0.93
6.171,26.865,15.581,0.92
0,22.985,10.735,0.89
6.171,23.776,13.997,0.9
0,26.131,12.121,0.91
0,22.664,10.813,0.89
12.956,29.404,15.878,0.91
16.568,33.387,19.231,0.92
16.443,33.824,19.623,0.92
8.206,27.564,13.943,0.92
0,28.267,13.407,0.93
1.849,26.397,12.45,0.92
6.734,25.479,14.615,0.91
2.714,25.827,12.658,0.91
0,23.457,11.08,0.9
0,24.076,11.282,0.9
0,23.42,10.976,0.9
0,27.074,13.025,0.92
4.072,26.217,13.637,0.92
2.236,22.709,11.107,0.89
0,26.336,12.45,0.92
0,23.117,10.646,0.9
0,24.552,12.63,0.91
0,22.594,11.231,0.89
0,24.032,13.334,0.9
0,23.086,11.232,0.91
0,17.612,7.302,0.86
0,16.463,4.519,0.84
1.19,15.379,3.608,0.82
0,15.64,2.096,0.82
0,17.783,6.327,0.86
0,17.278,3.499,0.86
0,16.936,5.352,0.85
0,15.382,0,0.82
0,17.388,5.861,0.86
0,16.837,5.125,0.85
0,16.078,3.494,0.83
0,16.414,0,0.84
2.399,17.833,7.441,0.86
3.39,17.321,8.034,0.85
1.149,15.713,9.381,0.82
0,15.37,0,0.82
0,17.531,6.211,0.86
0,16.339,4.364,0.84
0,16.415,0,0.85
0,16.119,3.771,0.84
0,16.667,4.693,0.85
0,15.397,0,0.82
0,15.841,6.381,0.83
0,15.46,0,0.82
1.161,19.03,6.393,0.88
2.958,16.624,6.345,0.84
2.642,15.92,4.817,0.82
0,15.53,0,0.82
0,16.188,3.561,0.84
0,17.451,5.837,0.86
0,16.436,0,0.85
0,15.919,2.976,0.83
0,16.952,5.059,0.85
12.304,22.535,14.396,0.87
13.699,24.097,16.29,0.88
13.609,24.023,16.201,0.88
4.457,19.399,8.193,0.88
0,16.643,3.77,0.85
0,15.385,0,0.82
0,15.371,0,0.82
3.176,17.822,8.018,0.86
2.638,15.962,5.024,0.83
0,15.41,0,0.83
0,16.514,0,0.85
0,18.137,6.839,0.87
0,15.986,3.273,0.84
0,15.383,0,0.83
0,15.385,0,0.83
0,17.429,5.879,0.86
0,16.443,0,0.85
0,15.379,0,0.82
0,15.379,0,0.82
0,15.379,0,0.82
0,17.342,5.8,0.86
2.052,15.597,3.584,0.83
3.172,17.325,5.946,0.86
1.684,15.633,3,0.83
0,15.387,0,0.82
0,15.378,0,0.82
0,17.092,5.604,0.86
0,15.382,0,0.82
0,15.38,0,0.82
0,16.38,0,0.85
0,15.38,0,0.82
0,15.38,0,0.82
0,15.38,0,0.82
0,15.394,0,0.83
0,15.392,0,0.83
0,16.541,0,0.85
0,15.383,0,0.82
0,15.38,0,0.82
0,15.379,0,0.82
0,15.379,0,0.82
0,15.378,0,0.82
0,15.378,0,0.82
0,16.526,0,0.85
0,15.378,0,0.82
0,16.059,3.476,0.84
0,15.378,0,0.82
0,18.014,7.031,0.87
0,15.379,0,0.82
0,15.681,0,0.83
0,16.205,0,0.84
0,15.379,0,0.82
0,15.38,0,0.82
0,15.382,0,0.82
10.258,20.457,12.061,0.86
14.82,24.714,18.072,0.88
14.018,27.924,18.679,0.9
8.402,21.107,14.143,0.87
0,15.997,7.093,0.83
0,17.976,11.138,0.86
0,22.559,12.524,0.91
0,19.669,11.425,0.89
0,19.687,12.897,0.89
0,23.04,12.178,0.92
0,20.351,11.404,0.9
0,19.78,11.099,0.89
0,19.755,11.076,0.89
0,19.748,11.046,0.89
1.222,20.156,13.93,0.89
0,21.644,11.343,0.91
1.709,21.789,15.001,0.91
0,19.891,11.295,0.89
0,17.253,8.826,0.86
0,14.886,5.054,0.83
