VL1,VL2,VL3,IL1,IL2,IL3,PFL3
126.86,128.11,127.85,20.065,6.773,9.084,0.46
126.64,127.79,127.4,18.853,6.489,7.667,0.44
125.47,127.92,127.39,20.174,6.514,11.77,0.62
127.27,127.64,126.69,12.317,6.297,11.856,0.51
127.04,126.96,126.57,10.464,6.147,10.012,0.53
125.62,125.91,125.35,33.538,29.214,34.71,0.49
126.72,127.26,126.41,14.287,5.95,13.018,0.52
127.1,127.41,126.43,7.234,6.153,7.156,0.83
127.56,127.64,126.81,11.497,6.356,11.056,0.7
127.23,127.69,127.34,10.518,6.285,10.054,0.7
127.66,127.82,126.66,9.946,6.344,9.503,0.7
127.55,127.14,126.52,10.968,6.327,10.72,0.72
125.83,126.17,125.71,29.255,27.401,31.897,0.56
127.07,126.74,126.48,14.927,13.49,16.177,0.63
127.92,127.52,126.93,9.271,6.207,9.272,0.73
127.83,127.17,127.32,3.391,6.135,4.098,0.87
127.29,127.13,126.89,5.717,6.172,5.709,0.72
127.91,126.74,126.64,4.222,6.091,4.613,0.77
127.14,126.78,127.2,6.141,5.936,5.958,0.71
127.09,127.16,127.26,8.25,5.966,7.594,0.65
126.98,127.12,126.84,5.497,6.048,4.935,0.65
127.39,127.29,127.16,3.922,6.473,3.736,0.75
127.27,126.96,127.2,6.073,6.452,5.399,0.65
125.68,124.96,125.49,26.222,28.507,26.037,0.53
127.4,126.28,126.64,4.147,6.444,3.691,0.69
126.26,126.17,126.92,11.518,6.787,10.315,0.34
126.6,126.24,126.91,14.85,6.573,13.372,0.3
125.76,126.53,125.7,21.735,6.656,20.69,0.37
126.49,126.61,126.9,16.58,6.756,15.127,0.33
126.74,126.48,126.79,13.246,6.873,11.889,0.44
126.68,126.52,126.08,12.924,7.029,11.875,0.4
126.15,126.33,126.6,9.936,6.989,9.949,0.4
126.53,125.55,126.02,13.958,6.831,13.854,0.36
126.53,125.96,126.07,15.746,6.888,14.28,0.27
125.9,125.36,125.56,32.364,24.791,32.597,0.41
126.11,125.73,126.32,26.357,16.352,25.499,0.37
126.85,126.18,126.3,14.267,6.942,13.129,0.38
125.59,126.7,126.27,18.817,7.021,17.319,0.26
126.46,125.93,126.97,12.132,6.941,10.517,0.36
127.14,125.85,126.11,13.564,6.808,12.296,0.41
127.2,126.56,127,13.29,6.805,11.849,0.32
126.82,126.64,126.86,9.581,6.714,9.614,0.53
127.07,126.84,126.75,4.908,6.565,5.547,0.79
127.79,126.51,127.13,6.416,6.402,5.422,0.6
127.85,126.67,127.88,5.713,6.384,4.824,0.67
127.01,125.7,126.16,22.23,22.807,21.389,0.51
127.71,126.22,126.88,16.195,17.722,15.218,0.53
127.83,126.64,127.88,6.622,6.347,5.572,0.55
128.49,127.02,127.6,5.601,6.415,5.308,0.79
127.85,127.42,127.31,10.595,6.481,10.137,0.68
126.91,127.52,127.76,9.78,6.285,9.299,0.66
127.9,127.29,127.95,8.937,6.414,7.685,0.51
