IL1,IL2,IL3,PFL3
20.065,6.773,9.084,0.46
18.853,6.489,7.667,0.44
20.174,6.514,11.77,0.62
12.317,6.297,11.856,0.51
10.464,6.147,10.012,0.53
33.538,29.214,34.71,0.49
14.287,5.95,13.018,0.52
7.234,6.153,7.156,0.83
11.497,6.356,11.056,0.7
10.518,6.285,10.054,0.7
9.946,6.344,9.503,0.7
10.968,6.327,10.72,0.72
29.255,27.401,31.897,0.56
14.927,13.49,16.177,0.63
9.271,6.207,9.272,0.73
3.391,6.135,4.098,0.87
5.717,6.172,5.709,0.72
4.222,6.091,4.613,0.77
6.141,5.936,5.958,0.71
8.25,5.966,7.594,0.65
5.497,6.048,4.935,0.65
3.922,6.473,3.736,0.75
6.073,6.452,5.399,0.65
26.222,28.507,26.037,0.53
4.147,6.444,3.691,0.69
11.518,6.787,10.315,0.34
14.85,6.573,13.372,0.3
21.735,6.656,20.69,0.37
16.58,6.756,15.127,0.33
13.246,6.873,11.889,0.44
12.924,7.029,11.875,0.4
9.936,6.989,9.949,0.4
13.958,6.831,13.854,0.36
15.746,6.888,14.28,0.27
32.364,24.791,32.597,0.41
26.357,16.352,25.499,0.37
14.267,6.942,13.129,0.38
18.817,7.021,17.319,0.26
12.132,6.941,10.517,0.36
13.564,6.808,12.296,0.41
13.29,6.805,11.849,0.32
9.581,6.714,9.614,0.53
4.908,6.565,5.547,0.79
6.416,6.402,5.422,0.6
5.713,6.384,4.824,0.67
22.23,22.807,21.389,0.51
16.195,17.722,15.218,0.53
6.622,6.347,5.572,0.55
5.601,6.415,5.308,0.79
10.595,6.481,10.137,0.68
9.78,6.285,9.299,0.66
8.937,6.414,7.685,0.51
4.418,6.434,3.54,0.58
12.47,6.207,3.843,0.59
18.879,6.304,7.397,0.39
23.116,6.006,11.815,0.37
21.245,6.003,9.908,0.33
15.408,6.106,8.143,0.47
35.226,28.928,34.816,0.42
12.612,6.063,11.835,0.44
21.237,6.132,20.048,0.31
12.584,6.219,11.658,0.37
5.529,6.123,5.215,0.67
4.661,5.9,4.536,0.71
5.443,6.002,6.189,0.84
4.514,6.199,4.223,0.79
4.534,6.113,3.765,0.56
7.047,6.174,6.266,0.55
5.9,6.216,4.891,0.56
33.137,29.131,32.463,0.41
9.803,6.068,7.794,0.21
16.88,6.021,15.702,0.36
10.614,5.899,9.344,0.43
11.462,6.051,10.2,0.43
11.765,5.984,9.825,0.31
8.882,5.798,6.649,0.26
9.379,5.737,7.279,0.3
7.397,6.19,6.324,0.57
26.943,29.987,25.38,0.51
5.935,6.499,4.902,0.58
3.293,6.652,2.891,0.71
5.449,6.412,4.54,0.59
5.095,6.46,4.174,0.61
6.44,6.648,5.361,0.73
4.891,6.407,3.876,0.7
5.533,6.454,4.36,0.61
4.315,6.303,3.323,0.68
3.104,6.601,2.319,0.82
2.954,6.57,2.317,0.82
28.072,29.318,28.178,0.53
7.695,6.414,6.482,0.65
3.036,6.63,2.321,0.82
6.833,6.654,6.217,0.81
4.816,6.772,3.854,0.71
3.144,6.783,2.312,0.82
5.137,6.682,4.487,0.81
10.104,6.799,8.94,0.67
6.954,6.785,5.884,0.69
6.372,6.803,5.959,0.83
7.018,6.754,5.838,0.67
5.048,6.578,4.191,0.65
27.544,29.111,26.284,0.5
4.656,6.692,3.888,0.66
4.163,6.411,3.42,0.7
4.071,6.268,3.4,0.7
6.195,6.427,5.155,0.58
3.509,6.247,2.694,0.64
5.447,6.212,5.053,0.79
6.173,6.311,5.576,0.7
2.762,6.471,1.893,0.81
3.892,6.617,4.128,0.79
11.309,11.675,31.08,0.98
26.732,32.91,48.236,0.87
12.629,11.608,33.701,0.98
13.54,11.764,34.184,0.97
13.347,11.746,33.975,0.98
17.694,11.76,34.059,0.97
21.194,11.88,33.997,0.98
18.915,11.091,32.799,0.99
20.036,6.723,33.233,0.98
21.687,6.846,34.216,0.98
20.44,19.215,40.189,0.91
21.512,23.402,42.244,0.9
11.159,6.631,32.651,0.98
11.22,6.7,32.639,0.98
13.025,6.599,33.622,0.98
12.212,6.731,33.096,0.98
11.118,6.641,32.592,0.98
11.102,6.588,32.573,0.98
12.164,6.662,33.113,0.98
12.963,6.768,33.462,0.98
23.904,24.319,44.019,0.88
20.559,20.105,41.349,0.91
11.075,6.724,32.437,0.98
11.928,6.485,32.895,0.98
11.123,6.501,32.5,0.98
11.616,6.529,32.747,0.98
11.085,6.395,32.496,0.98
11.127,6.484,32.502,0.98
11.117,6.373,32.479,0.98
13.79,10.448,34.295,0.96
25.257,28.965,46.261,0.87
12.017,6.288,32.853,0.98
11.088,6.26,32.361,0.98
12.559,6.328,33.153,0.98
12.313,6.22,33.083,0.98
11.186,6.314,32.38,0.98
11.07,6.302,32.389,0.98
11.461,6.281,32.58,0.98
