VL1,VL2,VL3,IL1,IL2,IL3,PFL1
133.7,133.1,134.91,12.074,1.488,5.511,0.57
133.68,133.06,134.47,11.472,2.867,8.707,0.56
133.98,133.24,134.34,11.382,2.481,10.358,0.56
132.68,132.38,134.41,21.998,12.012,5.493,0.69
131.89,132.7,134.02,20.954,12.271,9.299,0.73
133.05,133.38,134.28,9.425,3.343,9.237,0.66
132.97,133.34,135.36,10.205,2.178,4.639,0.59
132.78,133.4,134.73,12.417,2.452,9.621,0.65
134.35,133.33,135.1,9.582,2.145,7.278,0.53
134.21,133.23,135.1,10.375,3.114,5.187,0.54
134.11,133.24,134.55,11.027,4.169,9.165,0.55
133.84,133.33,134.76,11.023,2.242,4.919,0.55
134.1,133.47,134.77,10.772,2.135,6.792,0.6
134.42,133.55,135.19,10.386,0.995,6.281,0.53
134.09,133.52,135,9.316,0.897,2.907,0.53
134.07,133.25,134.97,10.751,2.572,4.938,0.56
134.43,133.46,135.44,9.718,1.004,3.334,0.53
134.52,133.69,135.56,11.614,2.781,4.993,0.54
133.27,132.75,135.27,22.422,12.438,5.232,0.69
133.5,133.04,135.01,18.125,9.62,5.532,0.67
133.68,133.55,133.9,11.422,2.034,11.255,0.56
134.21,133.44,134.19,10.077,4.044,12.732,0.54
134.26,133.48,134.87,11.07,3.421,8.735,0.54
134.04,133.72,135.06,10.751,0.869,4.121,0.54
134.45,133.92,135.01,9.776,1.528,7.378,0.53
134.8,134,134.92,9.134,1.766,9.186,0.51
134.66,133.83,135.77,10.067,2.38,4.937,0.53
134.15,133.75,135.09,9.978,0.862,3.466,0.53
134.47,133.9,134.6,10.028,2.906,10.387,0.54
134.59,134.08,134.89,11.625,3.358,9.372,0.56
133.81,133.44,135.64,21.14,12.42,3.343,0.69
133.95,133.71,135.13,16.556,7.545,6.38,0.64
134.42,134.05,134.53,10.743,1.94,10.64,0.53
134.69,133.82,135.49,9.697,1.536,5.372,0.52
134.36,134.07,134.77,11.282,0.838,9.158,0.54
134.88,134.27,135.17,9.576,1.311,8.253,0.51
134.88,133.99,134.69,9.444,3.882,11.933,0.52
134.33,134.04,134.26,9.909,2.066,10.143,0.53
134.68,134.01,134.77,9.687,1.536,9.475,0.52
134.67,134.05,134.86,10.158,0.989,9.521,0.53
134.55,133.97,134.83,10.548,0.991,9.637,0.53
133.92,133.39,135.39,17.883,8.945,4.688,0.65
133.62,133.21,135.11,22.325,12.547,6.574,0.68
134.69,133.93,134.8,11.497,5.185,10.944,0.64
134.67,134.06,134.79,10.376,2.599,10.91,0.52
134.61,133.69,135.16,10.61,4.081,7.971,0.53
134.11,134.01,134.48,11.788,0.793,9.11,0.55
134.6,134.01,134.71,9.658,0.961,9.251,0.53
134.5,134.02,134.97,11.625,0.991,9.618,0.54
134.58,133.86,135.31,9.7,1.006,6.337,0.53
134.48,133.94,134.17,10.382,1.01,15.401,0.53
134.49,133.75,135.39,10.427,1.97,4.303,0.55
134.54,134.01,135.44,11.523,1.038,7.43,0.53
134.73,134.31,135.03,11.446,1.884,11.274,0.53
134.85,134.31,135.73,11.728,1.66,8.066,0.52
134.99,134.25,136.16,10.66,1.839,3.645,0.56
135.05,134.46,135.51,10.046,0.99,7.89,0.51
134.62,133.92,135.93,15.886,9.2,4.191,0.66
133.88,133.63,136.04,22.443,12.353,4.568,0.68
134.76,134.28,135.73,11.278,1.005,6.736,0.53
135.03,134.32,136.14,10.551,2.641,4.856,0.52
134.99,134.57,135.62,11.512,1.638,9.463,0.52
135.06,134.48,136.16,10.924,1.005,4.945,0.51
135.02,134.57,135.35,11.272,3.124,11.807,0.52
134.64,134.38,135.42,18.632,10.551,11.709,0.66
134.26,134.08,136.3,23.587,13.498,5.722,0.7
135.36,134.83,136.49,11.307,2.96,5.072,0.52
135,134.8,136.1,11.689,1.531,6.781,0.52
134.96,134.9,135.2,12.447,3.099,12.821,0.53
135.13,134.9,136.05,12.181,3.213,7.254,0.52
135.43,135.15,136.12,11.353,2.642,7.614,0.51
135.06,134.95,136.2,12.09,1.928,5.147,0.53
134.96,134.98,136.07,12.529,2.521,5.747,0.59
135.22,135.27,135.36,11.406,3.301,12.107,0.51
135.06,135.06,135.48,10.505,3.37,9.112,0.52
134.27,134.56,135.85,19.2,9.26,4.997,0.66
133.85,134.36,135.48,22.572,12.451,7.889,0.68
134.89,135,135.89,10.13,1.306,3.373,0.51
134.68,134.99,135.38,12.019,3.322,8.181,0.53
134.64,135.19,135.15,11.838,2.129,10.1,0.52
134.57,134.94,135.66,10.695,1.995,4.132,0.52
133.96,134.28,135.1,11.932,3.645,4.79,0.67
134.01,134.45,134.72,11.546,3.293,8.633,0.59
134.22,134.65,135.26,12.04,2.75,5.896,0.54
134.41,134.79,134.69,10.853,3.627,11.194,0.53
133.77,134.51,135.05,20.674,10.883,9.392,0.66
133.55,134.24,135.41,22.484,12.796,5.631,0.68
134.05,134.86,134.94,15.369,6.011,9.173,0.62
134.39,134.85,134.96,11.292,3.633,9.195,0.53
134.41,134.91,135.33,12.381,3.202,6.547,0.53
134.46,134.98,134.85,11.53,2.56,10.155,0.51
133.84,134.4,134.1,20.355,10.419,20.651,0.91
133.61,134.1,133.98,22.512,12.517,21.893,0.94
133.52,134,133.47,23.49,14.263,24.26,0.95
132.49,133.42,133.54,34.369,16.143,24.939,0.91
132.78,133.54,133.37,30.884,15.257,24.795,0.92
133.43,133.99,133.4,23.103,12.752,24.469,0.94
133.47,134.01,133.73,23.183,11.513,23.039,0.94
133.53,134.02,133.22,22.241,12.41,25.168,0.94
133.45,133.88,133.26,22.214,12.09,23.805,0.95
133.41,133.93,133.49,23.784,12.326,24.034,0.94
133.49,134.13,133.07,23.451,12.07,26.818,0.94
133.56,134.08,133.52,23.66,13.314,25.111,0.94
133.74,134.37,133.28,22.81,11.337,26.268,0.94
133.63,134.07,133.65,23.311,13.072,23.722,0.94
133.57,133.85,133.5,22.395,12.786,22.237,0.95
133.49,133.91,133.07,26.417,14.01,25.649,0.96
133.32,133.42,133.93,31.287,17.349,20.961,0.97
133.39,133.51,133.89,31.136,17.338,21.835,0.97
133.53,133.81,133.41,27.489,15.248,23.646,0.97
133.17,133.65,133.4,28.236,14.122,23.44,0.92
133.12,133.71,133.83,28.366,13.035,19.536,0.88
134.4,134.56,134.14,15.098,6.709,17.968,0.85
134.57,134.86,133.98,14.99,5.431,20.157,0.86
134.45,134.89,134.37,16.773,4.716,19.227,0.84
134.47,134.81,134.44,15.909,4.987,17.966,0.85
134.22,134.6,134.61,20.618,8.618,16.092,0.85
133.74,134.3,134.65,25.661,11.6,15.73,0.85
134.44,134.8,134.53,16.613,6.488,16.272,0.86
134.49,134.79,134.45,14.231,4.477,15.319,0.87
134.15,134.51,134.11,14.986,5.294,16.631,0.86
134.2,134.59,134.2,14.93,4.482,16.247,0.86
134.42,134.71,134.35,13.913,4.855,15.096,0.88
134.44,134.75,134.38,14.395,4.982,15.648,0.87
134.6,134.89,134.55,14.232,5.527,15.664,0.87
134.34,134.79,134.41,15.392,4.475,16.78,0.85
134.12,134.45,134.28,13.814,4.499,14.639,0.88
134.19,134.74,133.82,14.521,4.524,19.308,0.87
134.27,134.7,134.48,14.792,4.482,15.834,0.86
134.27,134.73,134.48,15.254,4.478,16.589,0.86
134.54,134.9,134.73,14.234,4.896,15.485,0.87
134.65,134.97,134.86,13.902,4.479,14.918,0.87
134.73,135.22,134.53,14.088,4.502,18.248,0.87
134.95,135.46,135.11,14.67,4.468,17.051,0.86
134.96,135.39,135.28,14.456,4.46,15.593,0.86
