IL1,IL2,IL3,PF
12.074,1.488,5.511,0.57
11.472,2.867,8.707,0.56
11.382,2.481,10.358,0.56
21.998,12.012,5.493,0.69
20.954,12.271,9.299,0.73
9.425,3.343,9.237,0.66
10.205,2.178,4.639,0.59
12.417,2.452,9.621,0.65
9.582,2.145,7.278,0.53
10.375,3.114,5.187,0.54
11.027,4.169,9.165,0.55
11.023,2.242,4.919,0.55
10.772,2.135,6.792,0.6
10.386,0.995,6.281,0.53
9.316,0.897,2.907,0.53
10.751,2.572,4.938,0.56
9.718,1.004,3.334,0.53
11.614,2.781,4.993,0.54
22.422,12.438,5.232,0.69
18.125,9.62,5.532,0.67
11.422,2.034,11.255,0.56
10.077,4.044,12.732,0.54
11.07,3.421,8.735,0.54
10.751,0.869,4.121,0.54
9.776,1.528,7.378,0.53
9.134,1.766,9.186,0.51
10.067,2.38,4.937,0.53
9.978,0.862,3.466,0.53
10.028,2.906,10.387,0.54
11.625,3.358,9.372,0.56
21.14,12.42,3.343,0.69
16.556,7.545,6.38,0.64
10.743,1.94,10.64,0.53
9.697,1.536,5.372,0.52
11.282,0.838,9.158,0.54
9.576,1.311,8.253,0.51
9.444,3.882,11.933,0.52
9.909,2.066,10.143,0.53
9.687,1.536,9.475,0.52
10.158,0.989,9.521,0.53
10.548,0.991,9.637,0.53
17.883,8.945,4.688,0.65
22.325,12.547,6.574,0.68
11.497,5.185,10.944,0.64
10.376,2.599,10.91,0.52
10.61,4.081,7.971,0.53
11.788,0.793,9.11,0.55
9.658,0.961,9.251,0.53
11.625,0.991,9.618,0.54
9.7,1.006,6.337,0.53
10.382,1.01,15.401,0.53
10.427,1.97,4.303,0.55
11.523,1.038,7.43,0.53
11.446,1.884,11.274,0.53
11.728,1.66,8.066,0.52
10.66,1.839,3.645,0.56
10.046,0.99,7.89,0.51
15.886,9.2,4.191,0.66
22.443,12.353,4.568,0.68
11.278,1.005,6.736,0.53
10.551,2.641,4.856,0.52
11.512,1.638,9.463,0.52
10.924,1.005,4.945,0.51
11.272,3.124,11.807,0.52
18.632,10.551,11.709,0.66
23.587,13.498,5.722,0.7
11.307,2.96,5.072,0.52
11.689,1.531,6.781,0.52
12.447,3.099,12.821,0.53
12.181,3.213,7.254,0.52
11.353,2.642,7.614,0.51
12.09,1.928,5.147,0.53
12.529,2.521,5.747,0.59
11.406,3.301,12.107,0.51
10.505,3.37,9.112,0.52
19.2,9.26,4.997,0.66
22.572,12.451,7.889,0.68
10.13,1.306,3.373,0.51
12.019,3.322,8.181,0.53
11.838,2.129,10.1,0.52
10.695,1.995,4.132,0.52
11.932,3.645,4.79,0.67
11.546,3.293,8.633,0.59
12.04,2.75,5.896,0.54
10.853,3.627,11.194,0.53
20.674,10.883,9.392,0.66
22.484,12.796,5.631,0.68
15.369,6.011,9.173,0.62
11.292,3.633,9.195,0.53
12.381,3.202,6.547,0.53
11.53,2.56,10.155,0.51
20.355,10.419,20.651,0.91
22.512,12.517,21.893,0.94
23.49,14.263,24.26,0.95
34.369,16.143,24.939,0.91
30.884,15.257,24.795,0.92
23.103,12.752,24.469,0.94
23.183,11.513,23.039,0.94
22.241,12.41,25.168,0.94
22.214,12.09,23.805,0.95
23.784,12.326,24.034,0.94
23.451,12.07,26.818,0.94
23.66,13.314,25.111,0.94
22.81,11.337,26.268,0.94
23.311,13.072,23.722,0.94
22.395,12.786,22.237,0.95
26.417,14.01,25.649,0.96
31.287,17.349,20.961,0.97
31.136,17.338,21.835,0.97
27.489,15.248,23.646,0.97
28.236,14.122,23.44,0.92
28.366,13.035,19.536,0.88
15.098,6.709,17.968,0.85
14.99,5.431,20.157,0.86
16.773,4.716,19.227,0.84
15.909,4.987,17.966,0.85
