VL1,VL2,VL3,IL1,IL2,IL3,PFL3
260.47,256.97,262.07,18.824,21.731,8.927,0.74
260.43,256.69,262.01,19.338,23.016,9.501,0.74
259.8,254.68,261.28,27.296,35.745,10.902,0.77
259.69,257.09,260.62,19.496,23.817,11.636,0.8
260.73,258.04,261.19,14.81,18.504,10.487,0.79
259.77,258.2,260.44,18.67,17.865,12.619,0.87
259.45,258.2,260.69,19.882,18.444,11.626,0.83
259.65,258.74,260.79,20.911,17.248,11.515,0.81
260.63,259.59,259.91,22.892,17.119,17.284,0.82
260.7,259.12,261.07,22.434,17.421,13.986,0.82
261.25,258.56,261.25,16.95,17.687,12.047,0.81
261.54,258.84,261.51,15.512,17.076,10.767,0.76
261.73,258.85,261.42,14.148,16.821,10.623,0.76
261.9,259.16,261.64,13.288,16.183,10.493,0.82
261.8,259.15,261.72,13.333,16.219,9.83,0.8
261,259.44,261.89,17.421,16.209,9.058,0.76
260.74,259.74,261.98,19.185,16.383,9.135,0.76
260.56,259.35,261.86,21.322,19.915,11.13,0.82
259.92,258.72,261.13,21.797,20.833,12.005,0.82
259.84,258.35,260.64,21.054,20.164,12.405,0.79
261.69,258.71,261.05,13.945,16.695,11.032,0.73
261.1,258.13,260.83,14.493,20.992,11.577,0.76
261.09,258.17,261.45,14.344,20.9,10.575,0.81
261.64,258.38,261.41,14.149,19.34,11.011,0.83
261.33,258.51,261.84,16.173,18.897,10.086,0.79
260.38,259.84,261.86,23.297,17.44,10.908,0.82
260.39,260.89,262.23,25.44,15.584,10.645,0.8
260.58,261.29,262.24,22.342,11.708,8.845,0.74
260.71,261.1,261.88,22.611,12.609,10.626,0.77
261.64,261.82,262.31,22.69,12.376,11.581,0.75
262.7,261.16,262.25,18.017,13.657,12.738,0.77
263.57,260.87,261.47,16.567,14.836,16.971,0.86
263.15,260.93,261.9,15.199,13.103,13.645,0.8
262.31,260.33,262.05,17.282,15.802,12.698,0.8
262.55,261.13,263.05,18.762,16.127,11.557,0.79
261.9,260.78,262.98,20.698,17.639,11.756,0.82
261.38,261.61,262.52,23.748,14.827,12.724,0.84
261.38,261.99,263.06,23.282,13.189,9.887,0.76
261.56,261.04,262.44,24.821,20.023,17.424,0.92
261.02,261.34,261.63,21.03,12.719,11.947,0.85
261,260.76,261.58,19.948,12.368,10.964,0.77
262.62,260.19,261.57,14.842,12.467,12.515,0.76
262.94,260.49,261.89,15.45,12.798,13.048,0.77
261.61,260.53,262.2,24.655,13.877,12.689,0.79
262.21,260.84,262.66,16.305,11.929,10.431,0.76
262.16,261.01,262.76,16.293,12.182,9.875,0.75
261.55,261.74,262.91,22.691,12.987,11.514,0.8
262.13,262.92,262.94,23.16,12.622,13.025,0.85
262.79,262.15,263.92,20.064,16.209,11.033,0.77
263.08,261.73,263.53,19.433,17.725,12.876,0.79
263.07,261.53,263.47,18.443,17.78,11.896,0.75
263.64,261.05,263.32,15.746,17.151,12.456,0.76
265,261.21,264.04,14.244,18.123,13.106,0.78
265.15,261.94,264.55,13.665,17.434,11.442,0.73
264.65,261.6,264.27,15.06,17.796,12.128,0.76
265.16,261.92,262.55,15.356,17.983,20.361,0.85
264.36,260.99,263.18,17.439,19.574,17.373,0.83
263.53,261.51,264.24,19.566,20.53,13.336,0.81
263.81,261.22,264.15,17.407,21.902,12.858,0.77
263.36,260.19,263.03,17.367,23.08,15.015,0.82
263.46,260.5,263.58,16.259,22.897,12.774,0.8
263.47,260.51,264,15.59,22.241,10.88,0.77
264.89,259.85,264.45,15.249,24.185,10.917,0.76
264.81,259.65,263.88,17.953,25.825,13.908,0.78
265.29,259.88,263.12,18.771,27.919,16.987,0.84
265.37,260.46,264.09,17.336,25.996,14.247,0.76
265.23,262.31,265.1,14.28,18.72,11.592,0.71
264.11,262.82,265.29,18.674,16.958,11.265,0.76
264.38,263.21,265.1,20.09,17.281,13.46,0.81
263.89,261.84,264.1,22.454,24.103,20.592,0.92
263.73,261.28,264.32,15.811,21.654,12.235,0.79
263.53,262.2,264.17,17.652,17.654,12.073,0.79
264.36,262.51,263.83,16.415,16.37,14.425,0.83
264.95,262.22,264.39,16.123,17.671,14.114,0.79
264.76,261.76,264.15,16.935,19.97,15.131,0.78
264.64,261.95,263.64,17.648,20.658,17.824,0.88
265.6,262.89,264.77,14.84,15.79,14.011,0.8
264.72,262.82,264.3,16.98,16.149,14.526,0.82
263.85,262.9,264.88,18.35,16.098,10.827,0.72
262.87,261.79,263.84,17.461,15.87,10.545,0.73
263.11,261.95,263.17,18.558,17.327,15.01,0.85
263.06,261.91,263.68,20.628,17.735,14.096,0.78
263.66,261.52,263.88,19.174,18.461,14.251,0.78
264.12,261.08,264.37,16.02,20.423,12.635,0.75
264.87,263.17,265.14,17.388,15.461,13.373,0.79
