IL1,IL2,IL3,PF
18.824,21.731,8.927,0.74
19.338,23.016,9.501,0.74
27.296,35.745,10.902,0.77
19.496,23.817,11.636,0.8
14.81,18.504,10.487,0.79
18.67,17.865,12.619,0.87
19.882,18.444,11.626,0.83
20.911,17.248,11.515,0.81
22.892,17.119,17.284,0.82
22.434,17.421,13.986,0.82
16.95,17.687,12.047,0.81
15.512,17.076,10.767,0.76
14.148,16.821,10.623,0.76
13.288,16.183,10.493,0.82
13.333,16.219,9.83,0.8
17.421,16.209,9.058,0.76
19.185,16.383,9.135,0.76
21.322,19.915,11.13,0.82
21.797,20.833,12.005,0.82
21.054,20.164,12.405,0.79
13.945,16.695,11.032,0.73
14.493,20.992,11.577,0.76
14.344,20.9,10.575,0.81
14.149,19.34,11.011,0.83
16.173,18.897,10.086,0.79
23.297,17.44,10.908,0.82
25.44,15.584,10.645,0.8
22.342,11.708,8.845,0.74
22.611,12.609,10.626,0.77
22.69,12.376,11.581,0.75
18.017,13.657,12.738,0.77
16.567,14.836,16.971,0.86
15.199,13.103,13.645,0.8
17.282,15.802,12.698,0.8
18.762,16.127,11.557,0.79
20.698,17.639,11.756,0.82
23.748,14.827,12.724,0.84
23.282,13.189,9.887,0.76
24.821,20.023,17.424,0.92
21.03,12.719,11.947,0.85
19.948,12.368,10.964,0.77
14.842,12.467,12.515,0.76
15.45,12.798,13.048,0.77
24.655,13.877,12.689,0.79
16.305,11.929,10.431,0.76
16.293,12.182,9.875,0.75
22.691,12.987,11.514,0.8
23.16,12.622,13.025,0.85
20.064,16.209,11.033,0.77
19.433,17.725,12.876,0.79
18.443,17.78,11.896,0.75
15.746,17.151,12.456,0.76
14.244,18.123,13.106,0.78
13.665,17.434,11.442,0.73
15.06,17.796,12.128,0.76
15.356,17.983,20.361,0.85
17.439,19.574,17.373,0.83
19.566,20.53,13.336,0.81
17.407,21.902,12.858,0.77
17.367,23.08,15.015,0.82
16.259,22.897,12.774,0.8
15.59,22.241,10.88,0.77
15.249,24.185,10.917,0.76
17.953,25.825,13.908,0.78
18.771,27.919,16.987,0.84
17.336,25.996,14.247,0.76
14.28,18.72,11.592,0.71
18.674,16.958,11.265,0.76
20.09,17.281,13.46,0.81
22.454,24.103,20.592,0.92
15.811,21.654,12.235,0.79
17.652,17.654,12.073,0.79
16.415,16.37,14.425,0.83
16.123,17.671,14.114,0.79
16.935,19.97,15.131,0.78
17.648,20.658,17.824,0.88
14.84,15.79,14.011,0.8
16.98,16.149,14.526,0.82
18.35,16.098,10.827,0.72
17.461,15.87,10.545,0.73
18.558,17.327,15.01,0.85
20.628,17.735,14.096,0.78
19.174,18.461,14.251,0.78
16.02,20.423,12.635,0.75
17.388,15.461,13.373,0.79
15.736,13.382,13.943,0.83
14.142,13.4,12.127,0.79
19.926,14.4,11.719,0.74
20.327,14.49,12.152,0.78
22.303,16.488,13.012,0.79
23.008,15.609,12.349,0.74
19.76,15.532,12.245,0.72
17.059,17.253,14.594,0.78
20.422,21.79,18.863,0.91
14.909,15.657,12.915,0.8
13.793,15.338,12.892,0.77
39.712,27.558,18.532,0.86
51.702,31.062,18.226,0.87
57.277,30.868,20.919,0.91
56.552,29.703,17.811,0.91
57.397,30.376,21.179,0.94
56.606,29.958,18.562,0.92
54.75,30.578,19.088,0.92
52.867,29.835,18.671,0.92
53.117,30.237,19.94,0.92
52.88,29.988,20.129,0.91
52.89,29.947,21.179,0.9
55.071,30.158,20.805,0.91
56.993,29.939,21.254,0.92
57.214,30.249,19.438,0.91
56.159,29.371,17.72,0.91
55.148,29.864,17.772,0.91
52.322,30.074,18.428,0.91
52.156,29.854,18.989,0.9
51.66,29.838,18.527,0.9
53.549,28.552,18.389,0.9
53.818,27.606,18.619,0.93
54.169,27.487,17.845,0.9
56.379,27.392,17.627,0.9
57.384,28.906,20.011,0.91
58.872,32.689,24.477,0.95
55.423,28.614,17.478,0.91
53.382,27.414,18.029,0.9
53.481,27.612,17.981,0.9
53.751,27.206,18.731,0.93
54.244,27.353,23.183,0.9
53.886,27.302,18.019,0.91
54.39,27.908,18.215,0.92
53.943,27.947,19.244,0.91
55.007,27.17,17.533,0.91
55.508,27.585,19.342,0.9
55.786,27.2,20.966,0.93
56.486,27.202,18.482,0.92
